id_municipio,sigla_uf
110033,RO
110020,RO
110110,RO
110080,RO
110094,RO
110045,RO
110070,RO
110010,RO
110008,RO
110149,RO
110140,RO
110060,RO
110040,RO
110002,RO
110026,RO
110175,RO
110013,RO
110011,RO
110160,RO
110100,RO
110180,RO
110155,RO
110143,RO
110025,RO
110012,RO
110130,RO
110015,RO
110170,RO
110032,RO
110150,RO
110034,RO
110014,RO
110090,RO
110120,RO
110029,RO
110050,RO
110037,RO
110004,RO
110009,RO
110001,RO
110028,RO
110147,RO
110145,RO
110148,RO
110018,RO
110092,RO
110030,RO
110003,RO
110146,RO
110005,RO
110007,RO
110006,RO
120039,AC
120033,AC
120035,AC
120042,AC
120020,AC
120060,AC
120032,AC
120030,AC
120043,AC
120050,AC
120034,AC
120045,AC
120038,AC
120013,AC
120017,AC
120040,AC
120001,AC
120080,AC
120025,AC
120070,AC
120005,AC
120010,AC
130380,AM
130360,AM
130040,AM
130320,AM
130210,AM
130280,AM
130230,AM
130160,AM
130423,AM
130370,AM
130006,AM
130060,AM
130390,AM
130020,AM
130406,AM
130100,AM
130220,AM
130140,AM
130165,AM
130150,AM
130195,AM
130180,AM
130002,AM
130420,AM
130426,AM
130130,AM
130010,AM
130120,AM
130063,AM
130083,AM
130008,AM
130030,AM
130110,AM
130255,AM
130185,AM
130260,AM
130115,AM
130250,AM
130353,AM
130356,AM
130310,AM
130400,AM
130440,AM
130200,AM
130190,AM
130340,AM
130050,AM
130300,AM
130068,AM
130290,AM
130430,AM
130395,AM
130350,AM
130070,AM
130240,AM
130090,AM
130410,AM
130080,AM
130014,AM
130270,AM
130170,AM
130330,AM
140010,RR
140005,RR
140045,RR
140002,RR
140015,RR
140017,RR
140070,RR
140040,RR
140030,RR
140028,RR
140020,RR
140047,RR
140050,RR
140023,RR
140060,RR
150300,PA
150390,PA
150530,PA
150797,PA
150510,PA
150040,PA
150480,PA
150680,PA
150600,PA
150475,PA
150145,PA
150565,PA
150285,PA
150050,PA
150590,PA
150450,PA
150310,PA
150580,PA
150110,PA
150180,PA
150030,PA
150070,PA
150280,PA
150770,PA
150250,PA
150630,PA
150640,PA
150570,PA
150200,PA
150490,PA
150790,PA
150635,PA
150150,PA
150140,PA
150130,PA
150080,PA
150442,PA
150700,PA
150190,PA
150650,PA
150240,PA
150340,PA
150260,PA
150820,PA
150710,PA
150796,PA
150290,PA
150410,PA
150746,PA
150440,PA
150430,PA
150620,PA
150747,PA
150660,PA
150740,PA
150320,PA
150803,PA
150170,PA
150090,PA
150500,PA
150690,PA
150220,PA
150560,PA
150160,PA
150610,PA
150611,PA
150520,PA
150210,PA
150400,PA
150460,PA
150010,PA
150330,PA
150120,PA
150800,PA
150020,PA
150275,PA
150470,PA
150795,PA
150720,PA
150350,PA
150760,PA
150655,PA
150195,PA
150830,PA
150405,PA
150345,PA
150095,PA
150230,PA
150540,PA
150495,PA
150307,PA
150375,PA
150360,PA
150503,PA
150805,PA
150100,PA
150619,PA
150548,PA
150060,PA
150780,PA
150172,PA
150445,PA
150815,PA
150835,PA
150085,PA
150380,PA
150370,PA
150497,PA
150506,PA
150178,PA
150810,PA
150812,PA
150293,PA
150550,PA
150618,PA
150013,PA
150157,PA
150309,PA
150125,PA
150276,PA
150808,PA
150543,PA
150730,PA
150277,PA
150215,PA
150553,PA
150295,PA
150034,PA
150549,PA
150420,PA
150175,PA
150750,PA
150715,PA
150563,PA
150745,PA
150613,PA
150555,PA
150775,PA
150616,PA
150840,PA
150670,PA
150658,PA
150270,PA
150304,PA
160050,AP
160020,AP
160070,AP
160010,AP
160055,AP
160025,AP
160030,AP
160060,AP
160021,AP
160015,AP
160023,AP
160005,AP
160053,AP
160040,AP
160027,AP
160080,AP
170650,TO
171855,TO
170100,TO
170105,TO
171430,TO
171280,TO
172000,TO
172120,TO
170030,TO
170382,TO
171380,TO
171245,TO
170255,TO
170220,TO
170389,TO
172080,TO
171830,TO
172010,TO
170380,TO
170740,TO
170290,TO
172030,TO
171070,TO
171880,TO
172020,TO
171630,TO
170300,TO
170215,TO
171720,TO
170230,TO
170130,TO
170210,TO
171488,TO
170388,TO
170770,TO
172210,TO
172208,TO
171886,TO
171395,TO
171570,TO
170305,TO
170550,TO
170310,TO
170025,TO
170710,TO
170190,TO
170390,TO
171250,TO
171370,TO
171870,TO
171320,TO
170720,TO
171330,TO
170930,TO
170830,TO
171670,TO
171665,TO
170600,TO
171840,TO
170825,TO
171110,TO
172125,TO
170320,TO
170360,TO
172130,TO
171180,TO
170755,TO
171550,TO
171190,TO
171500,TO
170460,TO
171750,TO
171845,TO
170610,TO
171610,TO
170200,TO
170730,TO
170820,TO
171884,TO
170370,TO
171889,TO
170950,TO
171575,TO
170386,TO
170070,TO
170035,TO
170625,TO
170765,TO
171660,TO
172097,TO
171150,TO
172085,TO
172025,TO
170110,TO
171200,TO
172100,TO
172065,TO
170980,TO
171360,TO
171820,TO
172110,TO
171650,TO
171888,TO
170330,TO
171270,TO
171240,TO
171510,TO
171195,TO
171875,TO
172015,TO
171900,TO
171790,TO
170384,TO
170900,TO
170307,TO
171850,TO
170410,TO
171050,TO
171090,TO
171700,TO
171420,TO
170510,TO
171890,TO
172049,TO
171620,TO
170700,TO
170040,TO
171800,TO
171525,TO
172090,TO
170560,TO
170270,TO
172093,TO
170555,TO
170240,TO
171865,TO
171215,TO
171780,TO
171515,TO
210020,MA
210135,MA
210190,MA
210240,MA
210312,MA
211178,MA
210905,MA
210370,MA
210083,MA
210130,MA
210680,MA
210310,MA
210490,MA
211120,MA
211130,MA
210945,MA
210750,MA
210710,MA
210960,MA
210920,MA
210510,MA
210237,MA
210125,MA
211020,MA
210110,MA
210940,MA
210170,MA
211027,MA
210500,MA
210805,MA
211250,MA
210927,MA
211050,MA
210860,MA
210980,MA
210825,MA
210840,MA
210760,MA
210070,MA
210100,MA
211100,MA
210745,MA
210830,MA
211170,MA
211280,MA
210650,MA
210250,MA
211290,MA
210515,MA
210177,MA
210690,MA
210355,MA
210540,MA
210675,MA
210930,MA
210880,MA
211270,MA
210270,MA
210720,MA
210663,MA
211245,MA
211240,MA
210620,MA
210290,MA
210467,MA
210197,MA
210317,MA
210565,MA
210055,MA
210260,MA
210430,MA
210315,MA
210632,MA
210637,MA
211400,MA
210990,MA
210465,MA
211102,MA
210047,MA
210735,MA
210850,MA
211000,MA
210087,MA
211227,MA
210200,MA
210596,MA
211300,MA
210810,MA
210570,MA
210635,MA
210215,MA
210040,MA
211003,MA
210923,MA
210203,MA
210232,MA
210325,MA
210700,MA
211285,MA
211153,MA
210598,MA
210375,MA
210235,MA
210955,MA
210060,MA
210455,MA
211176,MA
210530,MA
210550,MA
210542,MA
210005,MA
211085,MA
210870,MA
210207,MA
210590,MA
211172,MA
210740,MA
210120,MA
211150,MA
211140,MA
210193,MA
210580,MA
210594,MA
211167,MA
210600,MA
211223,MA
210820,MA
210520,MA
210400,MA
211163,MA
210890,MA
211030,MA
210560,MA
210975,MA
211230,MA
210409,MA
211180,MA
210408,MA
210160,MA
210535,MA
210480,MA
210095,MA
210547,MA
210910,MA
210460,MA
210440,MA
210450,MA
210470,MA
211174,MA
210420,MA
210462,MA
210380,MA
211125,MA
211070,MA
211010,MA
210630,MA
210015,MA
211023,MA
211060,MA
210090,MA
210173,MA
211040,MA
210320,MA
210667,MA
211260,MA
210210,MA
210640,MA
210080,MA
210220,MA
210043,MA
210275,MA
210845,MA
211210,MA
210330,MA
210360,MA
210390,MA
210340,MA
210010,MA
210030,MA
211107,MA
210300,MA
211220,MA
210660,MA
210230,MA
210780,MA
210592,MA
210800,MA
211090,MA
210150,MA
210790,MA
211110,MA
211195,MA
210730,MA
210770,MA
211190,MA
210670,MA
210545,MA
210350,MA
210255,MA
211105,MA
210405,MA
210900,MA
211157,MA
210280,MA
210140,MA
210050,MA
211200,MA
210407,MA
210950,MA
211065,MA
210180,MA
211080,MA
210410,MA
210970,MA
211160,MA
210610,MA
210725,MA
220620,PI
220205,PI
220120,PI
220217,PI
220850,PI
220177,PI
220680,PI
220840,PI
220196,PI
220545,PI
220580,PI
220150,PI
220370,PI
220540,PI
220610,PI
220997,PI
220667,PI
220585,PI
220669,PI
220208,PI
220770,PI
220570,PI
220272,PI
220200,PI
220465,PI
220253,PI
220191,PI
220265,PI
220270,PI
220987,PI
221005,PI
220830,PI
220779,PI
220330,PI
220672,PI
220273,PI
220555,PI
220640,PI
220325,PI
220160,PI
221100,PI
220550,PI
221110,PI
220040,PI
220558,PI
220630,PI
220695,PI
220030,PI
220202,PI
220220,PI
220675,PI
220105,PI
221065,PI
220260,PI
221040,PI
220527,PI
220194,PI
220551,PI
220990,PI
220271,PI
220557,PI
220635,PI
220240,PI
220790,PI
220342,PI
220525,PI
220710,PI
220060,PI
220050,PI
220945,PI
221050,PI
220750,PI
220554,PI
220140,PI
220775,PI
220010,PI
220460,PI
220020,PI
220880,PI
220980,PI
220100,PI
220410,PI
220400,PI
220960,PI
220860,PI
221038,PI
221140,PI
220350,PI
220117,PI
220559,PI
220470,PI
221130,PI
220090,PI
220690,PI
220810,PI
220915,PI
220920,PI
220890,PI
220115,PI
221120,PI
220275,PI
220855,PI
220560,PI
220600,PI
221063,PI
220590,PI
220080,PI
220170,PI
220360,PI
221039,PI
220510,PI
220450,PI
220970,PI
221010,PI
220225,PI
220390,PI
220530,PI
220670,PI
220785,PI
220380,PI
220900,PI
220975,PI
220440,PI
220660,PI
220130,PI
220190,PI
220930,PI
220870,PI
220740,PI
220310,PI
220045,PI
220323,PI
220250,PI
220553,PI
220455,PI
220345,PI
220335,PI
221135,PI
221035,PI
220955,PI
220285,PI
221060,PI
220192,PI
220375,PI
220070,PI
220198,PI
220735,PI
220230,PI
221095,PI
220552,PI
220290,PI
221062,PI
220885,PI
220300,PI
220320,PI
220665,PI
220760,PI
220110,PI
220480,PI
220985,PI
220340,PI
220935,PI
221037,PI
220910,PI
220435,PI
220800,PI
220095,PI
220180,PI
221093,PI
221170,PI
221020,PI
220755,PI
221097,PI
220277,PI
220207,PI
220700,PI
220937,PI
220995,PI
221030,PI
220650,PI
220420,PI
220025,PI
220820,PI
220940,PI
220027,PI
220209,PI
220213,PI
220520,PI
220430,PI
220720,PI
220605,PI
220490,PI
220500,PI
221150,PI
221160,PI
220415,PI
220595,PI
220157,PI
220780,PI
220255,PI
220777,PI
220865,PI
220515,PI
220005,PI
220173,PI
221070,PI
220327,PI
220950,PI
220385,PI
220730,PI
221090,PI
221080,PI
220280,PI
220210,PI
220965,PI
220155,PI
220556,PI
221000,PI
220795,PI
220211,PI
220535,PI
220793,PI
220887,PI
220245,PI
230890,CE
230790,CE
230725,CE
230655,CE
230230,CE
230020,CE
230780,CE
230425,CE
230390,CE
230470,CE
230205,CE
230260,CE
230530,CE
230340,CE
231360,CE
231410,CE
231340,CE
231230,CE
230500,CE
230423,CE
231390,CE
230450,CE
230400,CE
230880,CE
230820,CE
230050,CE
230837,CE
230610,CE
230465,CE
231280,CE
230800,CE
231200,CE
231290,CE
230990,CE
230310,CE
230490,CE
230435,CE
230900,CE
231100,CE
231170,CE
231395,CE
230590,CE
231095,CE
230580,CE
231220,CE
230365,CE
230520,CE
230640,CE
231350,CE
230075,CE
231025,CE
231020,CE
231240,CE
231355,CE
231380,CE
231375,CE
230630,CE
231260,CE
231070,CE
231335,CE
230460,CE
230090,CE
231040,CE
230300,CE
230660,CE
230280,CE
231010,CE
230650,CE
230910,CE
230015,CE
230980,CE
230140,CE
231160,CE
230290,CE
230120,CE
230510,CE
230210,CE
230395,CE
230945,CE
230195,CE
231085,CE
230220,CE
230350,CE
230370,CE
230625,CE
230970,CE
230440,CE
230765,CE
230770,CE
230495,CE
230100,CE
230428,CE
230960,CE
230523,CE
231320,CE
230930,CE
230860,CE
230940,CE
230410,CE
230565,CE
231126,CE
230125,CE
230560,CE
230240,CE
230763,CE
230393,CE
230185,CE
231140,CE
231130,CE
230526,CE
231190,CE
230360,CE
230040,CE
230150,CE
231030,CE
231330,CE
230835,CE
231050,CE
231300,CE
231270,CE
230426,CE
230850,CE
231090,CE
230030,CE
230535,CE
230445,CE
230110,CE
230620,CE
230533,CE
230070,CE
231250,CE
231180,CE
231310,CE
231150,CE
231000,CE
230760,CE
230870,CE
230700,CE
230680,CE
230670,CE
230690,CE
231123,CE
230600,CE
231080,CE
230427,CE
231135,CE
230380,CE
230550,CE
230950,CE
230540,CE
230330,CE
230740,CE
231325,CE
230080,CE
231400,CE
230570,CE
230180,CE
231370,CE
230750,CE
231195,CE
231120,CE
230270,CE
230160,CE
230130,CE
230480,CE
230430,CE
230060,CE
230320,CE
230170,CE
230200,CE
230810,CE
231210,CE
230840,CE
230710,CE
230420,CE
230730,CE
230190,CE
230920,CE
231110,CE
230830,CE
230720,CE
231060,CE
230250,CE
230010,CE
241335,RN
240440,RN
240800,RN
240110,RN
240145,RN
241105,RN
240430,RN
240100,RN
240230,RN
240370,RN
240520,RN
241460,RN
240130,RN
240760,RN
240870,RN
241445,RN
240610,RN
240020,RN
240485,RN
240250,RN
240070,RN
240990,RN
241025,RN
241280,RN
240470,RN
240040,RN
240320,RN
241080,RN
241250,RN
240725,RN
240700,RN
240330,RN
240290,RN
241475,RN
241360,RN
241100,RN
240490,RN
240940,RN
240050,RN
241190,RN
240600,RN
240860,RN
241410,RN
241380,RN
241050,RN
240730,RN
240390,RN
241490,RN
241000,RN
241020,RN
241070,RN
240090,RN
240400,RN
241450,RN
240060,RN
240840,RN
241060,RN
240930,RN
240590,RN
240690,RN
240740,RN
241355,RN
240185,RN
240410,RN
241160,RN
240720,RN
240450,RN
240970,RN
240550,RN
240960,RN
240190,RN
240030,RN
240080,RN
240375,RN
240670,RN
240650,RN
241300,RN
241415,RN
240270,RN
240165,RN
240380,RN
241140,RN
240200,RN
240560,RN
241210,RN
240480,RN
241340,RN
241180,RN
241430,RN
241142,RN
241240,RN
240890,RN
240850,RN
240300,RN
240340,RN
240570,RN
240240,RN
240310,RN
240010,RN
241010,RN
240160,RN
240510,RN
240880,RN
240580,RN
241230,RN
240790,RN
241330,RN
240280,RN
240540,RN
241170,RN
240500,RN
241400,RN
240210,RN
241370,RN
241120,RN
240680,RN
240150,RN
241290,RN
240640,RN
241110,RN
241480,RN
240780,RN
240460,RN
240660,RN
240180,RN
240615,RN
240170,RN
240920,RN
240910,RN
241030,RN
240630,RN
240620,RN
241150,RN
240530,RN
240830,RN
241350,RN
241470,RN
241310,RN
241090,RN
241270,RN
240933,RN
241260,RN
241040,RN
241390,RN
241255,RN
241440,RN
240750,RN
240895,RN
240950,RN
240820,RN
240260,RN
241200,RN
240710,RN
241220,RN
240325,RN
240360,RN
240810,RN
241320,RN
240980,RN
240140,RN
241420,RN
241500,RN
240350,RN
240120,RN
240420,RN
240770,RN
240220,RN
250430,PB
250937,PB
251280,PB
250740,PB
250290,PB
250200,PB
251390,PB
251465,PB
250230,PB
250280,PB
250810,PB
251365,PB
250205,PB
251690,PB
251203,PB
251207,PB
250070,PB
250370,PB
251450,PB
250330,PB
251680,PB
250410,PB
250240,PB
250960,PB
250220,PB
251330,PB
250550,PB
250880,PB
251210,PB
251392,PB
250450,PB
250375,PB
251090,PB
251396,PB
251420,PB
251398,PB
251620,PB
250077,PB
251000,PB
250915,PB
251720,PB
250840,PB
251320,PB
251460,PB
250340,PB
251070,PB
251440,PB
250115,PB
250870,PB
251380,PB
251260,PB
251080,PB
250590,PB
251040,PB
250420,PB
250480,PB
251020,PB
251130,PB
250260,PB
250020,PB
251360,PB
250700,PB
251335,PB
250660,PB
251430,PB
250560,PB
251100,PB
251350,PB
250440,PB
250210,PB
250530,PB
251570,PB
250670,PB
250939,PB
250010,PB
250540,PB
251670,PB
250355,PB
251230,PB
251455,PB
250900,PB
251660,PB
250800,PB
250780,PB
251710,PB
251300,PB
251340,PB
251470,PB
251490,PB
250500,PB
251540,PB
251675,PB
250770,PB
250620,PB
251110,PB
251140,PB
251030,PB
250153,PB
250135,PB
251650,PB
251220,PB
251410,PB
251060,PB
251740,PB
250390,PB
250970,PB
251520,PB
251065,PB
250073,PB
250850,PB
250485,PB
251630,PB
251480,PB
251550,PB
250470,PB
250053,PB
250435,PB
250170,PB
251394,PB
251278,PB
250157,PB
250310,PB
251385,PB
250407,PB
250650,PB
250250,PB
251400,PB
250090,PB
251050,PB
251200,PB
251270,PB
250057,PB
251610,PB
250510,PB
250535,PB
250160,PB
251010,PB
251615,PB
251274,PB
250570,PB
251640,PB
250415,PB
250100,PB
251600,PB
250350,PB
250600,PB
251510,PB
250120,PB
250950,PB
250150,PB
251160,PB
250270,PB
251590,PB
250110,PB
250030,PB
250933,PB
250040,PB
250190,PB
250820,PB
250360,PB
250855,PB
250520,PB
250050,PB
250080,PB
250980,PB
251593,PB
251180,PB
251170,PB
250580,PB
250630,PB
251560,PB
250830,PB
250610,PB
251580,PB
250920,PB
251240,PB
250400,PB
250215,PB
251250,PB
250640,PB
250760,PB
250380,PB
250690,PB
250940,PB
251310,PB
250680,PB
251275,PB
250720,PB
250990,PB
251315,PB
250130,PB
250625,PB
251700,PB
250523,PB
250527,PB
250730,PB
250403,PB
251272,PB
251290,PB
250140,PB
250890,PB
250710,PB
250905,PB
250930,PB
251150,PB
251500,PB
250910,PB
251597,PB
250790,PB
250490,PB
251530,PB
251276,PB
251445,PB
250460,PB
250180,PB
250860,PB
250320,PB
250750,PB
251370,PB
251120,PB
250060,PB
251190,PB
250300,PB
261255,PE
260730,PE
261430,PE
261245,PE
261560,PE
260530,PE
260990,PE
260200,PE
260630,PE
260110,PE
261350,PE
260930,PE
261400,PE
261220,PE
260430,PE
261040,PE
261610,PE
260340,PE
261570,PE
261390,PE
260560,PE
261247,PE
260390,PE
260770,PE
260010,PE
261360,PE
261440,PE
260710,PE
261590,PE
260250,PE
261460,PE
261153,PE
261280,PE
260690,PE
261410,PE
260120,PE
260660,PE
260700,PE
260510,PE
260915,PE
260180,PE
260875,PE
261110,PE
260980,PE
261260,PE
260020,PE
260515,PE
261520,PE
260300,PE
261100,PE
260392,PE
261480,PE
260570,PE
260805,PE
260160,PE
260740,PE
260050,PE
261600,PE
261080,PE
260280,PE
261580,PE
260750,PE
260640,PE
260310,PE
261170,PE
260260,PE
260800,PE
260190,PE
260410,PE
261310,PE
260380,PE
261120,PE
260060,PE
261240,PE
261470,PE
261090,PE
261300,PE
260170,PE
260415,PE
261450,PE
260580,PE
261270,PE
261618,PE
261620,PE
261500,PE
261250,PE
261540,PE
261380,PE
260890,PE
261050,PE
260970,PE
260810,PE
260910,PE
260540,PE
261210,PE
260220,PE
260490,PE
260600,PE
261010,PE
261510,PE
260330,PE
260840,PE
260825,PE
261320,PE
260100,PE
260240,PE
261230,PE
260370,PE
260830,PE
260650,PE
260210,PE
260320,PE
260470,PE
260880,PE
260860,PE
261030,PE
260670,PE
260130,PE
260230,PE
261200,PE
260080,PE
261330,PE
260030,PE
260500,PE
261020,PE
260350,PE
260870,PE
261060,PE
260070,PE
261630,PE
260360,PE
260765,PE
260460,PE
260620,PE
260900,PE
260550,PE
261530,PE
260780,PE
260950,PE
260400,PE
261550,PE
260270,PE
260845,PE
260850,PE
260440,PE
261640,PE
261130,PE
260610,PE
260450,PE
260150,PE
260820,PE
261650,PE
260420,PE
260040,PE
260590,PE
260920,PE
261290,PE
261000,PE
260795,PE
260140,PE
261485,PE
261340,PE
261190,PE
261420,PE
261150,PE
261180,PE
261140,PE
260090,PE
260480,PE
260520,PE
260105,PE
260680,PE
260775,PE
260760,PE
261160,PE
260005,PE
260790,PE
260960,PE
261370,PE
261070,PE
260940,PE
260345,PE
260290,PE
260720,PE
260545,PE
270500,AL
270010,AL
270642,AL
270330,AL
270160,AL
270580,AL
270240,AL
270710,AL
270180,AL
270720,AL
270895,AL
270610,AL
270800,AL
270250,AL
270460,AL
270840,AL
270620,AL
270640,AL
270370,AL
270440,AL
270600,AL
270070,AL
270570,AL
270540,AL
270090,AL
270340,AL
270490,AL
270900,AL
270480,AL
270080,AL
270660,AL
270120,AL
270760,AL
270530,AL
270630,AL
270255,AL
270310,AL
270030,AL
270910,AL
270290,AL
270150,AL
270200,AL
270410,AL
270420,AL
270235,AL
270260,AL
270880,AL
270820,AL
270590,AL
270920,AL
270300,AL
270810,AL
270930,AL
270830,AL
270190,AL
270700,AL
270940,AL
270520,AL
270280,AL
270380,AL
270850,AL
270560,AL
270730,AL
270390,AL
270510,AL
270210,AL
270350,AL
270135,AL
270110,AL
270550,AL
270170,AL
270130,AL
270040,AL
270870,AL
270450,AL
270360,AL
270650,AL
270740,AL
270470,AL
270644,AL
270220,AL
270050,AL
270790,AL
270430,AL
270890,AL
270770,AL
270060,AL
270690,AL
270230,AL
270100,AL
270780,AL
270140,AL
270375,AL
270020,AL
270860,AL
270915,AL
270400,AL
270270,AL
270320,AL
270750,AL
270670,AL
270680,AL
280240,SE
280420,SE
280450,SE
280560,SE
280260,SE
280310,SE
280540,SE
280120,SE
280220,SE
280445,SE
280600,SE
280140,SE
280500,SE
280520,SE
280230,SE
280460,SE
280190,SE
280380,SE
280020,SE
280430,SE
280700,SE
280290,SE
280680,SE
280410,SE
280390,SE
280100,SE
280370,SE
280050,SE
280550,SE
280740,SE
280710,SE
280350,SE
280580,SE
280440,SE
280110,SE
280160,SE
280640,SE
280730,SE
280570,SE
280070,SE
280010,SE
280270,SE
280470,SE
280130,SE
280200,SE
280650,SE
280720,SE
280530,SE
280330,SE
280490,SE
280690,SE
280340,SE
280360,SE
280610,SE
280250,SE
280150,SE
280590,SE
280400,SE
280660,SE
280670,SE
280480,SE
280030,SE
280060,SE
280170,SE
280760,SE
280067,SE
280750,SE
280300,SE
280510,SE
280040,SE
280620,SE
280320,SE
280280,SE
280210,SE
280630,SE
290320,BA
292890,BA
290250,BA
291955,BA
290740,BA
291110,BA
292620,BA
290940,BA
292840,BA
290140,BA
293090,BA
290970,BA
290440,BA
293345,BA
292045,BA
293030,BA
292820,BA
290610,BA
290810,BA
291735,BA
292905,BA
292810,BA
290930,BA
290910,BA
290990,BA
292600,BA
293077,BA
290720,BA
